,groupes,popularity
0,1,2.1164465240641714
1,2,3.4813021690351533
2,3,2.9649209078404404
3,4,3.1371919167933133
4,5,3.4392907597345337
5,6,3.6184077379912662
6,7,3.936255462077349
7,8,3.691114543561264
8,9,1.9885602409638554
9,10,1.6563333333333332
